,Enflasyon Belirsizliği
2013-01-31,0.32
2013-02-28,0.22
2013-03-31,0.16
2013-04-30,0.26
2013-05-31,0.29
2013-06-30,0.42
2013-07-31,0.36
2013-08-31,0.28
2013-09-30,0.23
2013-10-31,0.41
2013-11-30,0.32
2013-12-31,0.2
2014-01-31,0.37
2014-02-28,0.31
2014-03-31,0.16
2014-04-30,0.23
2014-05-31,0.26
2014-06-30,0.32
2014-07-31,0.28
2014-08-31,0.29
2014-09-30,0.21
2014-10-31,0.61
2014-11-30,0.3
2014-12-31,0.22
2015-01-31,0.37
2015-02-28,0.17
2015-03-31,0.2
2015-04-30,0.31
2015-05-31,0.26
2015-06-30,0.34
2015-07-31,0.25
2015-08-31,0.18
2015-09-30,0.26
2015-10-31,0.43
2015-11-30,0.22
2015-12-31,0.34
2016-01-31,0.44
2016-02-29,0.23
2016-03-31,0.23
2016-04-30,0.4
2016-05-31,0.25
2016-06-30,0.32
2016-07-31,0.2
2016-08-31,0.3
2016-09-30,0.22
2016-10-31,0.49
2016-11-30,0.23
2016-12-31,0.32
2017-01-31,0.43
2017-02-28,0.38
2017-03-31,0.29
2017-04-30,0.33
2017-05-31,0.33
2017-06-30,0.27
2017-07-31,0.23
2017-08-31,0.22
2017-09-30,0.22
2017-10-31,0.4
2017-11-30,0.28
2017-12-31,0.43
2018-01-31,0.44
2018-02-28,0.23
2018-03-31,0.17
2018-04-30,0.31
2018-05-31,0.35
2018-06-30,0.5
2018-07-31,0.53
2018-08-31,0.71
2018-09-30,0.77
2018-10-31,1.11
2018-11-30,0.57
2018-12-31,0.6
2019-01-31,0.55
2019-02-28,0.44
2019-03-31,0.34
2019-04-30,0.58
2019-05-31,0.43
2019-06-30,0.4
2019-07-31,0.62
2019-08-31,0.46
2019-09-30,0.45
2019-10-31,0.58
2019-11-30,0.27
2019-12-31,0.27
2020-01-31,0.29
2020-02-29,0.25
2020-03-31,0.29
2020-04-30,0.43
2020-05-31,0.27
2020-06-30,0.4
2020-07-31,0.42
2020-08-31,0.26
2020-09-30,0.46
2020-10-31,0.57
2020-11-30,0.29
2020-12-31,0.38
2021-01-31,0.31
2021-02-28,0.32
2021-03-31,0.21
2021-04-30,0.44
2021-05-31,0.34
2021-06-30,0.48
2021-07-31,0.35
2021-08-31,0.36
2021-09-30,0.39
2021-10-31,0.49
2021-11-30,0.5
2021-12-31,1.23
2022-01-31,2.63
2022-02-28,2.04
2022-03-31,1.53
2022-04-30,1.11
2022-05-31,1.52
2022-06-30,1.28
2022-07-31,1.13
2022-08-31,0.75
2022-09-30,0.88
2022-10-31,0.72
2022-11-30,0.49
2022-12-31,0.73
2023-01-31,1.15
2023-02-28,0.85
2023-03-31,0.62
2023-04-30,0.55
2023-05-31,0.57
2023-06-30,1.22
2023-07-31,1.33
2023-08-31,1.25
2023-09-30,1.59
2023-10-31,0.79
2023-11-30,0.68
2023-12-31,0.58
2024-01-31,1.21
2024-02-29,0.94
2024-03-31,0.64
2024-04-30,0.55
2024-05-31,0.47
2024-06-30,0.48
2024-07-31,0.6
2024-08-31,0.49
2024-09-30,0.36
